employee_id,department,level,years_experience,age,education,salary,performance_score,remote_days_per_week,city,hire_date,attrition
EMP00001,HR,Manager,5,48.0,Associate,120300.0,2.51,5.0,New York,2010-01-01,No
EMP00002,Operations,Junior,0,44.0,Master,45200.0,3.64,1.0,New York,2010-01-04,No
EMP00003,HR,Mid,6,61.0,High School,56800.0,2.32,3.0,san francisco,2010-01-07,No
EMP00004,Sales,Director,25,54.0,Associate,59800.0,4.51,0.0,  new york,2010-01-11,No
EMP00005,HR,Junior,14,35.0,High School,5000.0,1.43,5.0,san francisco,2010-01-14,No
EMP00006,Sales,Director,6,44.0,High School,77300.0,1.15,3.0,San Francisco,2010-01-18,No
EMP00007,Engineering,Junior,18,52.0,Master,52200.0,1.83,0.0,San Francisco,2010-01-21,No
EMP00008,Sales,Manager,19,34.0,Master,95300.0,2.14,0.0,Chicago,2010-01-24,No
EMP00009,Sales,Lead,21,33.0,High School,98500.0,1.45,,Chicago,2010-01-28,No
EMP00010,HR,Lead,29,56.0,Bachelor,80800.0,1.26,0.0,Chicago,2010-01-31,Yes
EMP00011,Operations,Director,10,39.0,High School,81100.0,4.02,5.0,san francisco,2010-02-04,No
EMP00012,Engineering,Manager,22,42.0,High School,79100.0,1.66,1.0,Chicago,2010-02-07,Yes
EMP00013,Finance,Manager,13,63.0,Master,57500.0,4.66,5.0,  new york,2010-02-10,No
EMP00014,Finance,Manager,12,22.0,PhD,59600.0,2.47,5.0,san francisco,2010-02-14,Yes
EMP00015,Operations,Mid,19,59.0,Associate,108100.0,3.68,3.0,Boston,2010-02-17,No
EMP00016,Finance,Senior,25,62.0,Master,93400.0,1.9,2.0,Boston,2010-02-21,Yes
EMP00017,Engineering,Junior,26,63.0,Bachelor,,1.96,2.0,New York,2010-02-24,No
EMP00018,Marketing,Manager,24,30.0,Associate,90000.0,3.3,,San Francisco,2010-02-27,Yes
EMP00019,Engineering,Manager,8,44.0,Master,73500.0,3.24,2.0,  new york,2010-03-03,No
EMP00020,HR,Manager,8,35.0,Master,79600.0,4.07,3.0,San Francisco,2010-03-06,No
EMP00021,Legal,Lead,15,32.0,PhD,89900.0,,4.0,Austin,2010-03-10,No
EMP00022,Sales,Manager,11,28.0,Bachelor,23100.0,3.68,,San Francisco,2010-03-13,No
EMP00023,Sales,Junior,9,52.0,Bachelor,97700.0,2.8,3.0,San Francisco,2010-03-17,No
EMP00024,HR,Manager,5,45.0,Master,95900.0,4.56,0.0,Seattle,2010-03-20,No
EMP00025,HR,Junior,17,47.0,PhD,55500.0,,5.0,Seattle,2010-03-23,No
EMP00026,Legal,Mid,1,51.0,Master,,4.96,4.0,  new york,2010-03-27,No
EMP00027,Legal,Senior,26,55.0,High School,19600.0,4.28,0.0,Austin,2010-03-30,No
EMP00028,Sales,Lead,19,59.0,High School,83800.0,1.18,,Chicago,2010-04-03,
EMP00029,Legal,Junior,8,26.0,PhD,,,5.0,Austin,2010-04-06,No
EMP00030,Legal,Director,18,26.0,Master,67300.0,3.29,5.0,Austin,2010-04-09,
EMP00031,Legal,Mid,5,40.0,PhD,75500.0,,,New York,2010-04-13,No
EMP00032,Operations,Senior,1,59.0,Master,-1000.0,3.2,0.0,Boston,2010-04-16,No
